name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
kabras sugar white 2kg,Sugar,Kabras,SugarKabras2kg,Quickmart,2kg,2.0,kg,2.0,0.0,305.0,0.0,152.5,2026-04-20,https://www.quickmart.co.ke/kabras-sugar-white-2kg-31
tuzo uht whole milk 250ml,Milk,Tuzo,MilkTuzo250ml,Quickmart,250ml,250.0,litres,0.25,0.0,40.0,0.0,160.0,2026-04-20,https://www.quickmart.co.ke/tuzo-uht-whole-milk-250ml-23
pembe home baking flour 2kg,Wheat Flour,Pembe,Wheat FlourPembe2kg,Quickmart,2kg,2.0,kg,2.0,0.0,175.0,0.0,87.5,2026-04-20,https://www.quickmart.co.ke/pembe-home-baking-flour-2kg-31
ajab home baking flour 2kg,Wheat Flour,Ajab,Wheat FlourAjab2kg,Quickmart,2kg,2.0,kg,2.0,0.0,172.0,0.0,86.0,2026-04-20,https://www.quickmart.co.ke/ajab-home-baking-flour-2kg-31
exe all purpose flour 2kg,Wheat Flour,Exe,Wheat FlourExe2kg,Quickmart,2kg,2.0,kg,2.0,0.0,174.0,0.0,87.0,2026-04-20,https://www.quickmart.co.ke/exe-all-purpose-flour-2kg-31
tuzo esl milk 450ml,Milk,Tuzo,MilkTuzo450ml,Quickmart,450ml,450.0,litres,0.45,52.0,47.0,5.0,104.44444444444444,2026-04-20,https://www.quickmart.co.ke/tuzo-esl-milk-450ml-45
kabras sugar white 1kg,Sugar,Kabras,SugarKabras1kg,Quickmart,1kg,1.0,kg,1.0,0.0,155.0,0.0,155.0,2026-04-20,https://www.quickmart.co.ke/kabras-sugar-white-1kg-31
daima maziwa bora uht fino 500ml,Milk,Daima,MilkDaima500ml,Quickmart,500ml,500.0,litres,0.5,60.0,49.0,11.0,98.0,2026-04-20,https://www.quickmart.co.ke/daima-maziwa-bora-uht-fino-500ml-23
budget bread white(800gm),Bread,Budget,BreadBudget800g,Quickmart,800g,800.0,kg,0.8,0.0,119.0,0.0,148.75,2026-04-20,https://www.quickmart.co.ke/budget-bread-white(800gm)-28
ajab premium fortified sifted maize meal 2kg,Maize Meal,Ajab,Maize MealAjab2kg,Quickmart,2kg,2.0,kg,2.0,177.0,162.0,15.0,81.0,2026-04-20,https://www.quickmart.co.ke/ajab-premium-fortified-sifted-maize-meal-2kg-33
rina vegetable oil 5l,Cooking Oil,Rina,Cooking OilRina5l,Quickmart,5l,5.0,litres,5.0,1600.0,1499.0,101.0,299.8,2026-04-20,https://www.quickmart.co.ke/rina-vegetable-oil-5l-32
4us tetra fino asceptic uht milk 500ml,Milk,4us,Milk4us500ml,E-Mart,500ml,500.0,litres,0.5,0.0,60.0,0.0,120.0,2026-04-20,http://e-mart.co.ke/4-us-uht-milk-500ml?search=milk&category_id=0
amara milk hand and body lotion 400ml,Milk,Amara,MilkAmara400ml,E-Mart,400ml,400.0,litres,0.4,0.0,270.0,0.0,675.0,2026-04-20,http://e-mart.co.ke/amara-milk-hand-and-body-lotion-400ml?search=milk&category_id=0
aptamil infant milk formula 400g 0-6months 400g,Milk,Aptamil,MilkAptamil400g,E-Mart,400g,400.0,kg,0.4,0.0,2299.0,0.0,5747.5,2026-04-20,http://e-mart.co.ke/aptamil-infant-formula-milk-0-6-months-400g?search=milk&category_id=0
avene children spf 50+ sun milk 100ml,Milk,Avene,MilkAvene100ml,E-Mart,100ml,100.0,litres,0.1,0.0,4050.0,0.0,40500.0,2026-04-20,http://e-mart.co.ke/AVENE-CHILDREN-SPF-50-SUN-MILK-100ML-NOW-AVAILABLE-ON-E-MART?search=milk&category_id=0
bio barista fresh milk 1l,Milk,Bio,MilkBio1l,E-Mart,1l,1.0,litres,1.0,0.0,199.0,0.0,199.0,2026-04-20,http://e-mart.co.ke/BIO-BARISTA-FRESH-MILK-1L?search=milk&category_id=0
